rank,country,IQ,education_expenditure,avg_income,avg_temp
1,Hong Kong ,106,1283,35304,26.2
2,Japan,106,1340,40964,19.2
3,Singapore,106,1428,41100,31.5
4,Taiwan ,106,,,26.9
5,China,104,183,4654,19.1
6,South Korea,103,1024,22805,18.2
7,Netherlands,101,2386,45337,14.4
8,Finland,101,2725,42706,8.2
9,Canada,100,2052,40207,7.4
10,North Korea,100,,,15.3
11,Luxembourg,100,3665,71296,14.7
12,Macao ,100,1448,44072,26.1
13,Germany,100,1883,39911,13.8
14,Switzerland,100,3550,70399,15.2
15,Estonia,100,749,13770,10.1
16,Australia,99,2343,42948,24.3
17,United Kingdom,99,2076,40698,12.9
18,Greenland ,99,4518,24486,0.4
19,Iceland,99,3812,47106,8.1
20,Austria,99,2341,42635,13.2
21,Hungary,99,585,11391,16.6
22,New Zealand,99,2083,30141,17.4
23,Belgium,98,2507,40526,14.8
24,Norway,98,5436,75130,9.1
25,Sweden,98,3419,49535,9.9
26,Denmark,98,4133,53149,12.5
27,Cambodia,97,16,776,33.1
28,France,97,2042,37610,16.8
29,United States,97,2608,49883,18.8
30,Poland,96,545,10505,13.4
31,Czechia,96,712,15552,12.8
32,Russia,96,338,8241,9.5
33,Spain,95,1176,26463,21.1
34,Ireland,95,2500,43903,13.2
35,Italy,95,1380,32104,17.8
36,Croatia,95,505,11642,18.1
37,Lithuania,95,550,11330,11.6
38,Israel,93,1811,29009,25.4
39,Mongolia,93,153,2241,8.1
40,Portugal,93,1005,19253,21.5
41,Bermuda ,92,1748,108349,24.6
42,Bulgaria,91,224,5703,18.1
43,Greece,91,781,21101,22.3
44,Ukraine,91,143,2375,14.6
45,Vietnam,91,76,1446,28.9
46,Kazakhstan,89,225,6380,13.5
47,Malaysia,89,450,7665,32
48,Myanmar,89,14,660,32.2
49,Thailand,89,182,4260,33
50,Serbia,89,208,4876,18.3
51,Brunei,88,1020,29737,31.7
52,Chile,88,482,10195,18.5
53,Costa Rica,88,487,7480,28.6
54,Iraq,88,193,3757,32.3
55,Romania,88,249,7109,16
56,Argentina,87,454,8795,24.4
57,Mauritius,87,310,7812,26.8
58,Mexico,87,437,8845,29.8
59,Turkey,87,334,8840,20.5
60,Georgia,86,84,2901,20.1
61,Sri Lanka,85,55,2442,29.7
62,Montenegro,85,,6056,21.1
63,Cuba,84,395,5538,30
64,Brazil,83,427,7586,30.6
65,Philippines,83,67,2330,31.9
66,Colombia,83,231,5037,30.3
67,Laos,83,32,1157,32.1
68,Venezuela,83,273,8025,32.1
69,Albania,82,118,3513,21.4
70,United Arab Emirates,82,805,38644,34.4
71,Dominican Republic,82,158,4964,31.7
72,Puerto Rico ,82,1174,16583,30.4
73,Afghanistan,81,15,474,24.4
74,Iran,81,176,4545,26.6
75,Pakistan,81,27,985,30.9
76,Indonesia,80,79,2355,31.6
77,Kuwait,80,1990,37088,34.3
78,Oman,80,798,15328,33.8
79,Qatar,80,2331,58617,33.7
80,Bolivia,79,156,1912,27.6
81,Ecuador,79,199,4159,25.6
82,Egypt,78,92,2175,30.1
83,Algeria,77,253,3684,26.5
84,India,77,47,1163,31.7
85,Saudi Arabia,77,1265,17468,32.7
86,Sudan,77,25,1168,36.5
87,Syria,76,252,4532,25.3
88,Bangladesh,75,20,936,29.9
89,Chad,75,16,630,35.6
90,East Timor,74,54,2073,30.9
91,Kenya,74,62,939,27.4
92,Zimbabwe,74,50,843,27.1
93,El Salvador,72,113,2912,31.2
94,Morocco,71,144,2567,24.1
95,South Africa,69,336,5941,24.7
96,Niger,69,15,434,36.5
97,Somalia,69,1,396,33.2
98,Nigeria,68,,1752,33.3
99,Ethiopia,67,21,379,27.2
100,Cameroon,67,36,1234,31.1
101,Congo,64,7,316,30.4
102,Ghana,61,76,1166,32.1
103,Ivory Coast,61,69,1289,32.2
104,Equatorial Guinea,56,,7625,29.9
105,Gambia,55,14,648,32.9
106,Guatemala,55,92,2830,32.1
107,Sierra Leone,52,16,412,30.4
108,Nepal,51,22,595,24.6
